niat,Jawapan
kerosakan,"Kemalangan jarang berlaku, tetapi ia berlaku. Jika anda, seseorang yang anda jemput atau haiwan peliharaan bertanggungjawab atas kerosakan semasa penginapan, beritahu Hos anda dengan segera. Cara terbaik untuk melakukan ini ialah dengan menghantar mesej kepada mereka melalui tapak web atau apl Airbnb, sekiranya pasukan Sokongan Komuniti kami perlu merujuknya kemudian. Jika anda boleh memberikan foto, itu juga bagus. Berterus-terang tentang kerosakan memberikan Hos anda masa sebanyak mungkin untuk membetulkannya sebelum tetamu seterusnya tiba. Ia juga memberi anda dua peluang untuk mencari penyelesaian tanpa melibatkan Airbnb. Mengenai proses pembayaran balik 1. Hos anda boleh meminta pembayaran balik Jika Hos anda percaya bahawa anda bertanggungjawab untuk kerosakan, kehilangan item atau kos pembersihan yang tidak dijangka, mereka mungkin menghantar permintaan pembayaran balik kepada anda melalui Pusat Penyelesaian kami. Anda mempunyai 24 jam untuk membalas. Jika anda membayar jumlah penuh, permintaan akan ditutup. Jika anda membayar amaun separa, menolak permintaan atau mengabaikan permintaan itu, Hos anda mungkin melibatkan Airbnb sebagai langkah seterusnya. 2. Hos anda mungkin melibatkan Airbnb Jika Hos anda melibatkan Airbnb, ahli pasukan Sokongan Komuniti kami akan menentukan sama ada anda bertanggungjawab atas kerosakan tersebut dan sama ada jumlah yang diminta oleh Hos anda adalah munasabah. Mereka akan melakukan ini dengan menyemak bukti yang diberikan oleh Hos anda, serta sebarang nota yang anda sertakan dalam respons awal anda kepada permintaan Hos anda. Seseorang juga mungkin membuat susulan dengan anda atau orang lain yang mungkin mempunyai maklumat tentang tuntutan kerosakan Hos. 3. Airbnb mungkin meminta anda membayar Anda akan diberi peluang untuk menyerahkan bayaran tepat pada masanya atau rayuan secara sukarela. Jika anda tidak menyerahkan pembayaran atau rayuan tepat pada masanya, atau rayuan anda tidak berjaya, kaedah pembayaran anda akan dikenakan bayaran. (Ini tidak terpakai untuk penginapan di China, Jepun atau India.) Anda tidak akan dikenakan bayaran tanpa notis awal atau peluang untuk merayu sebelum dan selepas anda dicaj. Anda mempunyai 60 hari untuk membuat rayuan selepas anda didakwa. Berurusan dengan kerosakan tidak pernah menyeronokkan, tetapi proses ini direka bentuk untuk seadil mungkin."
tiada_tempah,"Hos boleh memilih untuk menyembunyikan penyenaraian mereka pada bila-bila masa daripada hasil carian, biasanya untuk menghalang tempahan baharu. Sebelum tempahan anda disahkan, hos digalakkan untuk mengesahkan tempahan dengan cepat. Tetapi jika anda telah menghantar permintaan perjalanan dan penyenaraian kini disembunyikan, anda boleh menghubungi Hos untuk mengetahui sama ada terdapat masalah. Selepas pengesahan, jika anda mempunyai perjalanan yang disahkan, perjalanan itu masih aktif, walaupun Hos anda telah menyembunyikan penyenaraian. Untuk mencari jadual perjalanan anda, pergi ke Perjalanan dan pilih perjalanan anda di bawah Akan Datang. Kemudian klik atau ketik Tunjukkan lagi rancangan perjalanan. Anda dan Hos anda juga masih boleh menghantar mesej melalui Airbnb untuk mengesahkan butiran tentang daftar masuk, daftar keluar dan sebarang maklumat tambahan."
pengalaman_mengesahkan,"Apabila anda menempah Pengalaman Airbnb, kami akan menghantar pengesahan tempahan kepada anda melalui e-mel. Menghadapi masalah mencarinya? Cuba semak folder spam anda. Anda juga boleh mencari jadual perjalanan anda dengan melawati Perjalanan anda di tapak web atau apl kami."
tempah_banyak,"Jika anda mempunyai satu tempahan tamat dan satu lagi bermula dalam masa 4 hari, dan lokasinya tidak jauh, kami menggabungkannya dalam satu perjalanan. Contohnya, anda mungkin mempunyai dua tempahan yang akan datang—satu di Tulum untuk 1 Mei dan satu di Playa del Carmen untuk 3 Mei. Oleh kerana jaraknya hanya sejam pemanduan, kedua-dua tempahan akan dipaparkan di bawah perjalanan yang sama dalam Trips."
tempah_namatetamu,"Pergi ke Perjalanan dan pilih tempahan yang ingin anda kemas kini Klik Urus Tetamu, masukkan nama tetamu tambahan anda dan klik Seterusnya Klik Simpan"
pembayaran_luar,"Sesetengah orang mungkin mencadangkan anda bersembang di Facebook messenger, melalui teks atau di tempat lain selain Airbnb. Tetapi jika anda berbuat demikian, anda kehilangan perlindungan polisi pembatalan dan bayaran balik kami, perlindungan kerosakan hos, insurans liabiliti hos, Syarat Perkhidmatan, Syarat Perkhidmatan Pembayaran dan perlindungan lain. Meninggalkan juga menyukarkan kami untuk melindungi maklumat anda dan meletakkan anda pada risiko penipuan yang lebih besar dan isu keselamatan lain, seperti pancingan data. Bayar Hos anda melalui Airbnb Jika anda membayar melalui wayar atau pindahan wang melalui bank, ini mungkin tempahan palsu. Untuk mendapatkan bantuan, beritahu kami dengan segera. Anda sentiasa boleh menyemak sama ada tempahan anda telah ditempah melalui Airbnb. Kami melindungi anda dan komuniti Airbnb Kami melakukan yang terbaik untuk memastikan anda selamat dengan menyemak mesej di platform Airbnb. Kami akan menyekat mesej yang berpotensi berbahaya yang mengandungi perkataan atau nombor yang mungkin termasuk maklumat hubungan atau rujukan ke tapak lain, termasuk pautan luaran. Anda boleh membantu. Jika anda mendapat mesej yang mencurigakan, beritahu kami dengan melaporkannya atau membenderakannya dalam peti masuk anda."
resolusi_pertolongan,"Perlu menghantar atau meminta wang untuk perkara yang berkaitan dengan perjalanan Airbnb atau Pengalaman Airbnb anda? Tiada masalah! Apabila menaip input anda ke dalam chatbot, borang akan muncul di sudut kanan bawah skrin untuk anda mengisi permintaan anda atau klik pada butang arahan.

Anda mempunyai sehingga 60 hari selepas tarikh daftar keluar tempahan anda untuk menyerahkan permintaan Pusat Penyelesaian.

Satu perkara yang perlu diambil perhatian: Anda mungkin perlu menambah kaedah pembayaran sebelum menghantar atau meminta wang melalui Pusat Penyelesaian."
pelan_pembayaran,"Ingin melancong sekarang dan bayar bakinya nanti? Kedengaran bagus. Penginapan layak untuk pelan pembayaran Anda akan menemui pilihan pelan pembayaran semasa mendaftar keluar jika tempahan anda memenuhi kriteria berikut: Anda membayar dengan kad kredit, kad debit, PayPal, Apple Pay, Google Pay atau kredit Airbnb. Anda membayar dengan mata wang selain daripada rupee India (INR). Baca lebih lanjut jika anda membayar dengan sebenar Brazil (BRL). Tempahan mempunyai jumlah nilai $50 USD atau lebih, termasuk cukai dan yuran, dan tolak sebarang kredit atau kupon. Hari tempahan anda bermula ialah sekurang-kurangnya 14 hari pada masa hadapan (sejauh mana anda perlu membuat tempahan ditentukan oleh dasar pembatalan penyenaraian). Tempahan bukanlah penginapan jangka panjang selama 28 malam atau lebih. Anda tidak membuat tempahan Airbnb for Work. Menjejaki pembayaran Anda akan membayar sebahagian daripada tempahan anda sebaik sahaja tempahan disahkan dan bayaran akan datang akan dicaj secara automatik pada tarikh yang disenaraikan semasa pembayaran. Resit e-mel anda akan menyertakan maklumat tentang pembayaran akan datang. Kami juga akan menghantar peringatan e-mel 3 hari sebelum setiap caj, bersama-sama dengan pautan untuk mengurus tetapan pembayaran anda supaya anda boleh mengedit kaedah pembayaran anda atau membayar awal jika anda mahu. Pembatalan Jika anda membatalkan, atau pembayaran seterusnya tidak dapat diselesaikan sebelum tarikh tamat tempoh, anda akan menerima bayaran balik mengikut dasar pembatalan tempahan anda. Cth: Katakan anda membatalkan dalam masa untuk menerima bayaran balik 50%, mengikut dasar pembatalan Ketat penyenaraian. Jika hanya 50% daripada tempahan telah dibayar setakat ini, tiada bayaran balik akan dikeluarkan dan baki 50% tidak akan dikenakan bayaran. Kupon, kredit dan kad hadiah Jika anda memilih pelan pembayaran semasa pembayaran, kredit Airbnb, kupon atau kad hadiah akan digunakan terlebih dahulu sebelum amaun pelan pembayaran dikira. Kupon, kredit atau kad hadiah tidak boleh digunakan pada pembayaran kedua atau sebarang pembayaran akan datang. Cth: Katakan anda menempah perjalanan dengan jumlah $200 dan anda mempunyai kredit hadiah $50 pada akaun anda: Semasa daftar keluar, anda akan mempunyai pilihan untuk memohon sehingga $50 dalam kredit kad hadiah Jika anda memilih untuk menggunakan kredit hadiah $50 penuh , anda akan mempunyai pilihan untuk membayar $75 semasa daftar keluar dan $75 pada tarikh kemudian untuk baki $150 yang tinggal Anda juga akan memerlukan bentuk pembayaran lain sebagai sandaran—contohnya, kad kredit atau debit dalam fail Apabila tiba masanya untuk mengecaj pembayaran kedua secara automatik, kaedah pembayaran sandaran yang anda pilih semasa pembayaran (contohnya, kad kredit atau debit yang anda pilih selain daripada membayar dengan kredit atau kupon) akan dicaj $75 walaupun anda mempunyai baki atau kredit Airbnb yang baru diperoleh. pada akaun anda."
pembayaran_lebih,"Jangan risau: Semua maklumat harga disertakan semasa anda menempah—tetapi terdapat beberapa situasi di mana anda mungkin berhutang lebih selepas membayar: Anda menukar tempahan anda (cth: Anda menambah tetamu lain) Hos anda memfailkan permintaan AirCover untuk Hos untuk kerosakan yang berlaku semasa penginapan Airbnb anda Hos anda memerlukan cukai dibayar semasa daftar masuk—ini hendaklah dinyatakan dengan jelas dalam penyenaraian sebelum membuat tempahan Anda telah menempah tempat, biasanya hotel, yang mengenakan bayaran tambahan yang dikutip semasa daftar masuk atau dalam masa 48 jam daripada pembayaran—ini juga mesti dinyatakan dalam penyenaraian dan pecahan harga anda sebelum membuat tempahan. Bila hendak mempertikaikan Jika Hos cuba mengenakan bayaran kepada anda untuk sesuatu yang tidak dinyatakan dalam penyenaraian, pecahan harga atau urutan mesej mereka, anda boleh mempertikaikannya di Pusat Penyelesaian. Cara membayar Jika anda bersetuju dengan caj tersebut, sentiasa bayar Hos melalui Pusat Resolusi, jangan sekali-kali secara langsung. Pastikan anda menyimpan semua transaksi pembayaran di Airbnb—jika tidak, kami tidak dapat membantu dengan isu yang berkaitan dengan pembayaran di luar tapak atau tunai."
pembayaran_perjalananditolak,"Jika permintaan perjalanan anda tamat tempoh atau ditolak oleh Hos, tiada kos untuk tempahan atau bayaran perkhidmatan Airbnb. Walau bagaimanapun, bergantung pada kaedah pembayaran anda, anda mungkin mendapat kebenaran sementara (""penahanan"") atau caj yang dibayar balik. Jika kaedah pembayaran anda dibenarkan Sesetengah kaedah pembayaran dan lokasi memerlukan jumlah penuh tempahan dibenarkan pada masa permintaan anda. Jika diterima, keizinan akan menjadi caj sebenar yang akan ditolak Jika ditolak atau tamat tempoh, kebenaran akan hilang atau muncul sebagai bayaran balik—ini mungkin mengambil masa sehingga 7 hari perniagaan, bergantung pada bank anda Jika kaedah pembayaran anda dicaj Sesetengah kaedah pembayaran atau lokasi memerlukan jumlah penuh tempahan dicaj pada masa permintaan perjalanan anda. Jika ia diterima, caj kekal dan tempahan anda disahkan Jika ia ditolak atau tamat tempoh, anda akan dibayar balik secara automatik—ini mungkin mengambil masa sehingga 10 hari, bergantung pada bank anda"
pembayaran_jangkapanjang,"Bercadang untuk tinggal sebentar? Hebat. Begini cara pembayaran berfungsi untuk tempahan 28 malam atau lebih: Bayaran pendahuluan bulan pertama: Anda akan dicaj ini terlebih dahulu, tetapi kami akan menangguhkan pengeluarannya kepada Hos sehingga 24 jam selepas daftar masuk Ansuran bulanan: Kami akan mengenakan bayaran kedua anda kepada kaedah pembayaran yang sama kira-kira 1 bulan selepas daftar masuk, dan setiap bulan selepas itu untuk tempoh tempahan anda Harga bulanan anda dikunci pada permulaan tempahan, dan anda boleh menjejaki pembayaran anda dan mencari jumlah kos anda pada resit pengebilan anda."
batal_jangkapanjang,Polisi pembatalan jangka panjang digunakan secara automatik untuk semua tempahan 28 malam atau lebih dan secara amnya memerlukan notis 30 hari.
ansuran_awal,"Walaupun ia tidak diperlukan, anda sentiasa mempunyai pilihan untuk membayar ansuran bulanan akan datang sedikit awal, asalkan dalam tempoh 7 hari sebelum pembayaran anda perlu dibayar. Contohnya, jika pembayaran anda perlu dibayar pada 11 Julai, anda boleh membayar seawal 4 Julai pada jam 12 pagi UTC. Untuk mengetahui masa pembayaran perlu dibuat: Pergi ke Perjalanan dan pilih tempahan yang anda mahu Klik Tunjukkan butiran Di bawah Butiran tempahan, klik Dapatkan resit dan uruskan pembayaran Pergi ke Pembayaran Berjadual dan cari tarikh pembayaran"
pembayaran_sahkan,"Selepas anda selesai menambah Kaedah Pembayaran, kami mungkin menghantar mesej kepada anda yang mengatakan bahawa anda perlu mengesahkannya dengan menyerahkan penyata kad kredit atau debit. Perlukan kenyataan terbaru? Cuba muat turun melalui tapak web atau apl mudah alih pengeluar kad anda. Penyata bil anda boleh dimuat naik sebagai fail PDF atau foto. Jika anda mempunyai penyata kertas, ambil foto halaman pertama yang mengandungi nama dan maklumat akaun anda. Jika penyata anda dalam bentuk digital, ambil tangkapan skrin, termasuk maklumat yang sama. Sekat baki dan urus niaga akaun—kami hanya memerlukan empat digit terakhir nombor akaun untuk kelihatan. Kami akan menghantar e-mel kepada anda dalam masa 24 jam selepas penyerahan untuk memberitahu anda sama ada anda boleh menggunakan kad kredit atau debit di Airbnb."
memberi_tip,"Penghargaan untuk kerja yang dilakukan dengan baik sentiasa dihargai, sama ada ulasan yang baik atau petua. Tetamu sering memilih pengalaman kerana ulasan yang mendalam, jadi anda akan membantu seluruh komuniti Airbnb jika anda berkongsi pendapat anda. Keutamaan budaya mengenai pemberian tip berbeza, jadi selidiki sebelum anda melakukan perjalanan."
cara_bayaran,"Pilihan pembayaran tersedia di kebanyakan negara Visa, MasterCard, Amex, JCB dan kad debit yang boleh diproses sebagai kad kredit Apple Pay Google Pay PayPal Pilihan pembayaran tersedia di negara tertentu Brazil Aura untuk Brazil Elo untuk Brazil Hipercard untuk Brazil China Alipay untuk Tanah Besar China WeChat Pay untuk Tanah Besar China India PayU untuk India Itali Postepay untuk Itali Jerman Sofort Überweisung untuk Jerman Belanda iDEAL untuk Belanda Amerika Syarikat Temui pembayaran Luar Talian atau pembayaran tunai adalah melanggar Syarat Perkhidmatan kami dan boleh mengakibatkan dialih keluar daripada Airbnb. Pembayaran di luar tapak menyukarkan kami untuk melindungi maklumat anda dan meletakkan anda pada risiko penipuan yang lebih besar dan isu keselamatan lain."
pembayaran_edit,"Pergi ke Perjalanan dan pilih perjalanan yang ingin anda ubah Di bawah Perkara yang telah anda tempah, pilih tempahan anda Di bawah Butiran pembayaran, klik Dapatkan resit dan uruskan pembayaran Dalam Butiran pembayaran anda, pergi ke Pembayaran berjadual dan pilih Kemas kini butiran pembayaran Kemas kini kaedah pembayaran anda dan pilih bila anda ingin membayar Klik Hantar"
pembayaran_buang,"Pergi ke Tetapan akaun > Pembayaran & pembayaran Di sebelah kaedah pembayaran, klik ikon tiga titik Klik Alih Keluar"
pembayaran_tambah,Pergi ke Tetapan akaun > Pembayaran & pembayaran Klik Tambah kaedah pembayaran
pembayaran_tetap,"Pergi ke Tetapan akaun > Kaedah pembayaran Di sebelah kaedah pembayaran, klik ikon tiga titik Klik Tetapkan Lalai"
laporan_mesej,Pergi ke Peti Masuk anda dan klik perbualan dengan mesej yang mencurigakan. Klik ikon Bendera dalam mesej Pilih sebab anda melaporkan orang itu dan jawab soalan yang berikutnya
pembayaran_dibenarkandiluar,"Kadangkala, Hos boleh mengutip yuran dan cukai dibenarkan tertentu secara terus daripada tetamu menggunakan kaedah pembayaran di luar Airbnb. Yuran ini mesti diperincikan dalam perihalan penyenaraian dan termasuk dalam pecahan harga sebelum membuat tempahan, dan biasanya dicaj sebelum penginapan, semasa daftar masuk atau dalam masa 48 jam selepas daftar keluar. Yuran tambahan: Deposit keselamatan: Hos yang mengurus penyenaraian mereka dengan perisian berkaitan API boleh menetapkan deposit keselamatan menggunakan ciri yuran luar talian kami. Ketahui lebih lanjut tentang deposit keselamatan. Yuran tempat peranginan: Ini mungkin meliputi kemudahan seperti wifi atau letak kenderaan valet. Kebetulan: Ini mungkin termasuk pengangkutan ulang-alik lapangan terbang atau bayaran tempat letak kereta. Cukai penghunian tempatan: Di sesetengah kawasan, Hos dikehendaki secara sah untuk mengutip ini sendiri. Ketahui lebih lanjut tentang cara cukai berfungsi untuk tetamu."
pembayaran_pelbagai,"Biarkan perkara mudah. Melainkan anda mempunyai kredit Airbnb atau kupon untuk digunakan, anda tidak boleh membahagikan jumlah kos penginapan atau pengalaman Airbnb anda merentas pelbagai kaedah pembayaran. Maknanya, anda tidak boleh membayar menggunakan dua kad kredit yang berbeza."
pembayaran_sah,"Pergi ke Kaedah Pembayaran Semak pilihan pembayaran yang disenaraikan di sana Jika kad perlu disahkan, pilih Sahkan kad Ikut langkah untuk mengesahkan kad Perlu diingat bahawa kad anda perlu disahkan sebelum anda boleh melengkapkan tempahan yang sedang berjalan atau membuat sebarang tempahan baharu yang lain. Sebarang tempahan sedia ada tidak akan terjejas."
matawang_pembayaran,"Airbnb menyokong beberapa mata wang yang berbeza untuk memberikan anda lebih fleksibiliti apabila anda mengehos atau tinggal bersama kami. Pilih untuk membayar menggunakan mata wang pilihan anda apabila anda memasukkan maklumat pembayaran anda atau menukar mata wang lalai anda pada bila-bila masa. Bergantung pada kaedah pembayaran anda, sesetengah mata wang mungkin tidak tersedia. Penukaran mata wang Airbnb memaparkan harga dalam mata wang yang anda pilih. Jika anda menukar mata wang pada bila-bila masa semasa membuat tempahan, harga akan dikemas kini secara automatik dalam mata wang baharu. Apabila anda sudah bersedia untuk memuktamadkan tempahan anda, halaman pembayaran juga akan menunjukkan mata wang baharu. Yuran pihak ketiga Jika anda memilih untuk menggunakan mata wang yang tidak sepadan dengan kaedah pembayaran lalai anda, bank atau syarikat kad kredit anda mungkin mengenakan yuran penukaran mata wang kepada pembayaran anda. Airbnb tidak bertanggungjawab untuk yuran ini, jadi sila hubungi bank atau syarikat kad kredit anda untuk mengetahui lebih lanjut. Yuran rentas sempadan Apabila bayaran tambahan muncul pada penyata bank anda, atau amaun yang dikenakan berbeza daripada yang ditunjukkan pada halaman pembayaran Airbnb, ini mungkin sebabnya: Jika bank atau syarikat kad kredit anda mengklasifikasikan entiti pemprosesan Airbnb sebagai antarabangsa, ia mungkin mengenakan bayaran Yuran rentas sempadan—walaupun caj telah diproses dalam mata wang standard kaedah pembayaran anda. Airbnb tidak mengurus dan tidak boleh membayar balik yuran ini, jadi sila hubungi bank atau syarikat kad kredit anda untuk mengetahui lebih lanjut."
Pembayaran_Paypal,"Bergantung pada mata wang yang anda gunakan untuk membayar, PayPal mungkin tersedia sebagai kaedah pembayaran. Jika PayPal tersedia, anda boleh memilihnya pada halaman pembayaran. Jika anda tidak melihat PayPal sebagai pilihan, anda perlu sama ada bertukar kepada mata wang yang layak atau memilih kaedah pembayaran lain. Sebaik sahaja anda memilih PayPal sebagai kaedah pembayaran anda, tetingkap penyemak imbas baharu akan muncul dan anda akan dibawa ke skrin log masuk di tapak PayPal: Log masuk ke Akaun PayPal anda Pilih salah satu kaedah pembayaran terpaut anda (cth: kredit kad atau akaun bank) di bawah Pilih cara untuk membayar Klik Teruskan Sahkan kaedah pembayaran, baca dasar PayPal, kemudian klik Setuju & Teruskan Anda akan dibawa kembali ke halaman daftar keluar Airbnb di mana anda boleh mengesahkan dan membayar tempahan Airbnb anda. Setelah pembayaran untuk jumlah penuh tempahan dibenarkan oleh PayPal, permintaan tempahan anda akan dihantar (atau tempahan tempah Segera anda akan disahkan). Anda hanya akan dicaj setelah tempahan anda disahkan. Jika permintaan tempahan anda dibatalkan, ditolak atau ia tamat tempoh, kebenaran PayPal akan terbatal dan anda tidak akan dikenakan bayaran. Anda mungkin perlu memautkan akaun bank atau kad kredit ke akaun PayPal anda untuk melengkapkan tempahan Airbnb anda. Sumber pembayaran ganti ini hanya akan digunakan jika kaedah utama anda tidak berjaya. Tapak web PayPal mempunyai maklumat lanjut tentang memilih kaedah pembayaran pilihan."
pembayaran_payu,"Bergantung pada mata wang yang anda gunakan untuk membayar, PayPal mungkin tersedia sebagai kaedah pembayaran. Jika PayPal tersedia, anda boleh memilihnya pada halaman pembayaran. Jika anda tidak melihat PayPal sebagai pilihan, anda perlu sama ada bertukar kepada mata wang yang layak atau memilih kaedah pembayaran lain. Sebaik sahaja anda memilih PayPal sebagai kaedah pembayaran anda, tetingkap penyemak imbas baharu akan muncul dan anda akan dibawa ke skrin log masuk di tapak PayPal: Log masuk ke Akaun PayPal anda Pilih salah satu kaedah pembayaran terpaut anda (cth: kredit kad atau akaun bank) di bawah Pilih cara untuk membayar Klik Teruskan Sahkan kaedah pembayaran, baca dasar PayPal, kemudian klik Setuju & Teruskan Anda akan dibawa kembali ke halaman daftar keluar Airbnb di mana anda boleh mengesahkan dan membayar tempahan Airbnb anda. Setelah pembayaran untuk jumlah penuh tempahan dibenarkan oleh PayPal, permintaan tempahan anda akan dihantar (atau tempahan tempah Segera anda akan disahkan). Anda hanya akan dicaj setelah tempahan anda disahkan. Jika permintaan tempahan anda dibatalkan, ditolak atau ia tamat tempoh, kebenaran PayPal akan terbatal dan anda tidak akan dikenakan bayaran. Anda mungkin perlu memautkan akaun bank atau kad kredit ke akaun PayPal anda untuk melengkapkan tempahan Airbnb anda. Sumber pembayaran ganti ini hanya akan digunakan jika kaedah utama anda tidak berjaya. Tapak web PayPal mempunyai maklumat lanjut tentang memilih kaedah pembayaran pilihan."
pembayaran_alipay,"Bergantung pada mata wang yang anda gunakan untuk membayar, PayPal mungkin tersedia sebagai kaedah pembayaran. Jika PayPal tersedia, anda boleh memilihnya pada halaman pembayaran. Jika anda tidak melihat PayPal sebagai pilihan, anda perlu sama ada bertukar kepada mata wang yang layak atau memilih kaedah pembayaran lain. Sebaik sahaja anda memilih PayPal sebagai kaedah pembayaran anda, tetingkap penyemak imbas baharu akan muncul dan anda akan dibawa ke skrin log masuk di tapak PayPal: Log masuk ke Akaun PayPal anda Pilih salah satu kaedah pembayaran terpaut anda (cth: kredit kad atau akaun bank) di bawah Pilih cara untuk membayar Klik Teruskan Sahkan kaedah pembayaran, baca dasar PayPal, kemudian klik Setuju & Teruskan Anda akan dibawa kembali ke halaman daftar keluar Airbnb di mana anda boleh mengesahkan dan membayar tempahan Airbnb anda. Setelah pembayaran untuk jumlah penuh tempahan dibenarkan oleh PayPal, permintaan tempahan anda akan dihantar (atau tempahan tempah Segera anda akan disahkan). Anda hanya akan dicaj setelah tempahan anda disahkan. Jika permintaan tempahan anda dibatalkan, ditolak atau ia tamat tempoh, kebenaran PayPal akan terbatal dan anda tidak akan dikenakan bayaran. Anda mungkin perlu memautkan akaun bank atau kad kredit ke akaun PayPal anda untuk melengkapkan tempahan Airbnb anda. Sumber pembayaran ganti ini hanya akan digunakan jika kaedah utama anda tidak berjaya. Tapak web PayPal mempunyai maklumat lanjut tentang memilih kaedah pembayaran pilihan."
pembayaran_sofortuberweisung,"Bergantung pada mata wang yang anda gunakan untuk membayar, PayPal mungkin tersedia sebagai kaedah pembayaran. Jika PayPal tersedia, anda boleh memilihnya pada halaman pembayaran. Jika anda tidak melihat PayPal sebagai pilihan, anda perlu sama ada bertukar kepada mata wang yang layak atau memilih kaedah pembayaran lain. Sebaik sahaja anda memilih PayPal sebagai kaedah pembayaran anda, tetingkap penyemak imbas baharu akan muncul dan anda akan dibawa ke skrin log masuk di tapak PayPal: Log masuk ke Akaun PayPal anda Pilih salah satu kaedah pembayaran terpaut anda (cth: kredit kad atau akaun bank) di bawah Pilih cara untuk membayar Klik Teruskan Sahkan kaedah pembayaran, baca dasar PayPal, kemudian klik Setuju & Teruskan Anda akan dibawa kembali ke halaman daftar keluar Airbnb di mana anda boleh mengesahkan dan membayar tempahan Airbnb anda. Setelah pembayaran untuk jumlah penuh tempahan dibenarkan oleh PayPal, permintaan tempahan anda akan dihantar (atau tempahan tempah Segera anda akan disahkan). Anda hanya akan dicaj setelah tempahan anda disahkan. Jika permintaan tempahan anda dibatalkan, ditolak atau ia tamat tempoh, kebenaran PayPal akan terbatal dan anda tidak akan dikenakan bayaran. Anda mungkin perlu memautkan akaun bank atau kad kredit ke akaun PayPal anda untuk melengkapkan tempahan Airbnb anda. Sumber pembayaran ganti ini hanya akan digunakan jika kaedah utama anda tidak berjaya. Tapak web PayPal mempunyai maklumat lanjut tentang memilih kaedah pembayaran pilihan."
pembayaran_gagal,"Adakah transaksi anda tidak berjaya? Ini boleh berlaku atas beberapa sebab yang berbeza, termasuk: Kad kredit atau debit anda telah tamat tempoh Anda telah melebihi had pengeluaran harian atau pembelian yang ditetapkan oleh bank atau syarikat kad kredit anda Alamat pengebilan dan nombor telefon yang anda masukkan tidak sepadan dengan alamat pengebilan dan nombor telefon yang dikaitkan dengan kad kredit atau debit anda Pencegahan penipuan Kad kredit atau debit anda tidak mempunyai dana yang mencukupi untuk membuat pembayaran Hubungi bank atau syarikat kad kredit anda untuk mendapatkan maklumat lanjut."
pembayaran_kad_tolak,"Kad kredit boleh ditolak atas beberapa sebab. Airbnb secara amnya tidak dimaklumkan tentang sebab tertentu. Isu biasa Semak sama ada anda memasukkan nombor kad kredit dan alamat pengebilan anda dengan betul, kad anda mempunyai dana yang tersedia dan kad anda belum tamat tempoh. Hubungi bank atau pengeluar kad anda Jika anda mendapat ralat semasa anda cuba membayar, kami mengesyorkan agar anda menghubungi bank atau syarikat kad kredit anda untuk mendapatkan maklumat lanjut. Maklumkan kepada mereka jumlah dan apabila cuba membuat caj supaya mereka boleh membiarkan transaksi itu berjalan. Jika bank atau pengeluar kad anda tidak dapat membantu, anda mungkin mahu mencuba kaedah pembayaran lain."
bayaran_caj_dua kali,"Jika kaedah pembayaran anda dibenarkan Sesetengah kaedah pembayaran atau lokasi memerlukan jumlah penuh tempahan dibenarkan pada masa permintaan anda. Jika tempahan anda diterima, kebenaran akan bertukar menjadi caj sebenar dan amaun akan ditolak daripada akaun pembayaran anda. Jika permintaan tempahan ditolak atau tamat tempoh, anda sama ada akan melihat kebenaran itu hilang sama sekali atau muncul sebagai bayaran balik dalam akaun pembayaran anda. Bergantung pada masa pemprosesan bank anda, pelepasan kebenaran mungkin mengambil masa sehingga 7 hari perniagaan. Jika kaedah pembayaran anda dicaj Sesetengah kaedah pembayaran atau lokasi memerlukan jumlah penuh tempahan dicaj pada masa permintaan anda. Jika permintaan tempahan anda diterima, caj akan kekal dan tempahan anda disahkan. Jika permintaan tempahan ditolak atau tamat tempoh, anda akan dibayar balik serta-merta dan secara automatik. Bergantung pada masa pemprosesan bank anda, bayaran balik mungkin mengambil masa sehingga 10 hari kalendar untuk diproses."
pembayaran_tahan,"Apabila anda menyerahkan permintaan tempahan, kami mungkin menahan kaedah pembayaran anda, yang dipanggil kebenaran, untuk jumlah penuh tempahan. Jika tempahan anda diterima, kebenaran akan bertukar menjadi caj sebenar dan amaun akan ditolak daripada akaun pembayaran anda. Jika permintaan anda ditolak atau tamat tempoh, kebenaran akan hilang atau muncul sebagai bayaran balik dalam akaun pembayaran anda. Bergantung pada masa pemprosesan bank anda, pelepasan kebenaran mungkin mengambil masa sehingga 7 hari perniagaan."
